word,meaning,imageUrl,language
apple,táo,https://picsum.photos/200/200?random=1,english
banana,chuối,https://picsum.photos/200/200?random=2,english
orange,cam,https://picsum.photos/200/200?random=3,english
grape,nho,https://picsum.photos/200/200?random=4,english
strawberry,dâu tây,https://picsum.photos/200/200?random=5,english
cat,mèo,https://picsum.photos/200/200?random=6,english
dog,chó,https://picsum.photos/200/200?random=7,english
bird,chim,https://picsum.photos/200/200?random=8,english
fish,cá,https://picsum.photos/200/200?random=9,english
rabbit,thỏ,https://picsum.photos/200/200?random=10,english 
