word,meaning,imageUrl,language
apple,táo,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=400,english
banana,chuối,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=400,english
orange,cam,https://images.unsplash.com/photo-1547514701-42782101795e?w=400,english
grape,nho,https://images.unsplash.com/photo-1515589666096-d94bdb06be50?w=400,english
strawberry,dâu tây,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?w=400,english
cat,mèo,https://images.unsplash.com/photo-1514888286974-6c03e2ca1dba?w=400,english
dog,chó,https://images.unsplash.com/photo-1547407139-3c921a66005c?w=400,english
bird,chim,https://images.unsplash.com/photo-1444464666168-49d633b86797?w=400,english
fish,cá,https://images.unsplash.com/photo-1522069169874-c58ec4b76be5?w=400,english
rabbit,thỏ,https://images.unsplash.com/photo-1585110396000-c9ffd4e4b308?w=400,english 
